gene_id,S00CWT11,S00D1D11,S00D2B11,S00D3911,S00D4711,S00D5511,S00XUN11
ENSG00000122335.12,1179,260,581,814,371,447,448
ENSG00000122359.16,4205,5471,3997,4057,3553,5147,8650
ENSG00000122367.18,1,0,6,6,0,0,0
ENSG00000122375.10,0,0,0,0,0,0,0
ENSG00000122376.10,2661.21,3160.39,3937.86,4459.47,3628.88,2002.49,2409.14
ENSG00000122378.12,4,7,128,188,26,11,83
ENSG00000122386.9,0,1,80,154,0,0,0
ENSG00000122390.16,864.33,712.76,418.58,534.33,778.39,987.17,1008
ENSG00000122406.11,38094.73,22881.65,32412.57,35953.29,37303.1,40604.52,44218.99
ENSG00000122417.14,4088,1688,2678,4545,2869,2975,3550
ENSG00000122420.8,0,88,827,479,0,0,0
ENSG00000122432.15,52,61,42,45,27,7,38
ENSG00000122435.8,1983,771,976,1849,1252,1282,876
ENSG00000122477.11,35,96,75,85,60,52,51
ENSG00000122481.15,469.21,268.55,331.96,502.94,414.81,279.02,267.25
ENSG00000122482.19,9786,7886,10722,9777,8727,4464,6579
ENSG00000122483.16,1187,1330,1198,1561,1603,1303,1285
ENSG00000122484.8,4111,2459,5089,5734,3376,3608,4057
ENSG00000122490.17,1614,1607,670,683,1305,1368,1209
ENSG00000122507.19,976,863,1763,2111,600,542,1245
ENSG00000122512.13,1221.03,570.08,617.64,725.33,939.67,1023.9,960.03
ENSG00000122515.13,1267,1064,733,784,1053,1760,1809
ENSG00000122543.9,14,3,4,4,3,8,9
ENSG00000122545.16,7761,7766,7748,9718,8249,4831,5396
ENSG00000122547.9,373,785,335,359,441,797,411
ENSG00000122548.5,1,4,315,185,0,0,0
ENSG00000122550.16,1019,628,844,1305,730,605,734
ENSG00000122557.8,2349,1869,1229,1426,1802,1885,2291
ENSG00000122565.17,8958.97,6055.99,6898.99,8365.98,7386.28,4390.99,5118.99
ENSG00000122566.19,29113,33636,31910,38541,28393,21272,21912
ENSG00000122574.9,2,0,0,0,0,0,4
ENSG00000122584.11,0,0,0,0,0,0,0
ENSG00000122585.6,0,0,0,0,0,0,0
ENSG00000122591.10,2444,2796,1718,2765,3592,2295,3900
ENSG00000122592.7,0,350,288,531,21,42,516
ENSG00000122641.9,5,69,8,3,213,988,15
ENSG00000122642.9,5,316.45,140.8,160.93,0,0,17
ENSG00000122643.17,2821.01,1930.95,1612.98,2137.71,1325.98,1052.99,1215.99
ENSG00000122644.11,6088.27,5173,4573.36,2971.62,2636.25,1448.06,2138.33
ENSG00000122674.10,2325.41,2411.94,1456.47,1671.08,2460.75,1575.6,1443.56
ENSG00000122678.13,592,652,520,578,404,981,1050
ENSG00000122679.7,0,3,0,0,0,0,0
ENSG00000122687.16,856,580,349,477,528,783,705
ENSG00000122691.11,2,18,62,34,0,0,0
ENSG00000122692.8,4338.96,4641.96,3423.98,3306.92,5222.95,3278.96,3742.96
ENSG00000122694.14,400,4688,734,1167,3859,1346,3183
ENSG00000122696.11,752.73,663.89,719.57,760.52,803.03,894.47,933
ENSG00000122705.15,1945,2029,1164,1509,1757,1597,1865
ENSG00000122707.10,226,755,229,262,232,4,867
ENSG00000122711.7,8,4,3,26,1,4,2
ENSG00000122718.5,0,0,0,0,0,0,0
ENSG00000122728.6,7.01,6.02,2,3,2,4,2
ENSG00000122729.17,948,815,1204,1278,1320,1255,1329
ENSG00000122733.12,0,0,0,0,0,0,0
ENSG00000122735.14,0,0,0,0,0,2,0
ENSG00000122741.14,2530,1631,1380,1918,1653,1208,1740
ENSG00000122756.13,0,0,0,0,0,0,0
ENSG00000122778.8,404,288,938,1087,655,1737,1137
ENSG00000122779.15,6303,2405,2532,3231,3589,3952,3247
ENSG00000122783.15,1803,943,891,1160,988,1122,1337
ENSG00000122786.18,1,13,0,2,15,4,1
ENSG00000122787.13,0,0,0,0,0,0,0
ENSG00000122824.9,0,0,8,0,0,0,83.87
ENSG00000122852.13,0,0,1,0,0,0,0
ENSG00000122859.4,0,0,0,0,1,0,0
ENSG00000122861.14,349,490,634,777,391,1155,1492
ENSG00000122862.4,15952,125917,18627,19175,29541,8736,1867
ENSG00000122863.5,0,1,4,5,0,0,0
ENSG00000122870.10,1,2,49,17,0,0,127
ENSG00000122872.8,0,0,0,0,0,0,0
ENSG00000122873.10,251,224,114,197,394,231,242
ENSG00000122877.12,8,939,32,34,112,11,299
ENSG00000122882.9,1803,1692,2239,1936,2545,2197,1839
ENSG00000122884.11,1631,2393,1777,2041,2351,1176,1147
ENSG00000122912.13,915,811,769,871,709,610,950
ENSG00000122952.15,449,472,134,247,564,280,135
ENSG00000122958.13,2757,2206,1940,2558,2269,948,1293
ENSG00000122965.9,2984,2091,2655,2053,2374,4160,3457
ENSG00000122966.12,324,563,277,242,720,562,248
ENSG00000122970.14,443,267,694,1144,516,601,600
ENSG00000122971.7,450,569,307,362,854,1523,434
ENSG00000122986.12,143,2005,324,338,622,191,450
ENSG00000123009.4,1,1,1,2,1,3.03,0
ENSG00000123064.11,2266,1886,1303,1470,1682,2501,2981
ENSG00000123066.6,22184,27533,40621,35195,30690,23311,30177
ENSG00000123080.9,1198,214,91,74,852,476,1097
ENSG00000123091.4,3287,2925,1642,2065,1503,899,1845
ENSG00000123094.14,6,44,301,870,58,36,39
ENSG00000123095.5,14,25,26,40,13,0,18
ENSG00000123096.10,78,22,71,150,80,30,71
ENSG00000123104.10,23797,14288,29246,42967,13522,11286,21950
ENSG00000123106.9,2116,1894,1629,2042,2200,1787,1584
ENSG00000123119.10,0,0,1,0,0,0,2
ENSG00000123124.12,1417,1647,1715,2050,1497,971,1661
ENSG00000123130.15,863,2222,864,1123,1766,1513,1496
ENSG00000123131.11,786,726,440,602,1165,831,590
ENSG00000123136.13,2098,2270,1574,1481,2150,2028,2751
ENSG00000123143.11,3752,4463,1776,2184,3137,5554,7928
ENSG00000123144.9,2133,2108,1193,1434,1839,2264,2373
ENSG00000123146.18,3108.34,13305.28,8754.77,8976.12,8930.14,15900.24,20858.67
ENSG00000123154.10,195,187,139,169,177,295,274
ENSG00000123159.14,139,289,119,174,433,780,130
ENSG00000123165.8,0,0,0,0,0,0,0
ENSG00000123171.6,0,1,0,1,0,0,0
ENSG00000123178.13,282,183,142,229,151,133,178
ENSG00000123179.12,1350,595,864,1124,625,661,1118
ENSG00000123191.12,1266,398,226,552,74,83,577
ENSG00000123200.15,5086,2919,3659,5449,4165,3421,4093
ENSG00000123201.13,11,9,9,16,9,13,2
ENSG00000123213.21,1475,1917,1504,2119,2441,1623,1346
ENSG00000123219.11,506,359,295,461,629,220,203
ENSG00000123240.15,1696,290,25,41,619,849,1134
ENSG00000123243.13,0,0,0,0,0,0,0
ENSG00000123268.7,1350,927,433,874,886,621,720
ENSG00000123297.15,745.39,400.79,476.65,534.69,500.27,518.91,476.59
ENSG00000123307.3,0,0,1,0,0,1,0
ENSG00000123329.16,1854,2537,1522,1610,2312,3208,3330
ENSG00000123338.11,14340,20485,12814,14068,21354,19744,22934
ENSG00000123342.14,1,365,162,265,93,47,98
ENSG00000123349.12,5571,9026,6134,6338,9407,7097,9351
ENSG00000123352.16,395,429,716,963,643,671,992
ENSG00000123353.8,507,600,479,532,527,448,500
ENSG00000123358.18,173,5616,179,145,510,161,1393
ENSG00000123360.10,242,925,393,446,210,281,2021
ENSG00000123364.4,0,0,0,0,0,0,0
ENSG00000123374.9,1299,785,840,968,931,822,920
ENSG00000123384.12,91,10274,189,159,16146,392,218
ENSG00000123388.4,0,0,0,0,0,0,0
ENSG00000123395.13,505,706,326,471,599,679,626
ENSG00000123405.12,10599,3359,2287,3903,3432,9036,9941
ENSG00000123407.3,0,0,0,0,0,0,0
ENSG00000123411.13,138,104,167,174,83,82,168
ENSG00000123415.13,559,326,275,392,301,376,606
ENSG00000123416.14,18146.29,18363.71,12865.47,15470.86,20111.76,13355.96,23701.38
ENSG00000123427.14,234,158,211,214,236,338,454
ENSG00000123444.12,1144,681,811,973,1000,1036,1094
ENSG00000123447.6,0,0,0,0,0,0,0
ENSG00000123453.15,8,58,214,260,152,265,77
ENSG00000123454.9,0,0,0,0,0,0,0
ENSG00000123472.11,653,807,559,691,871,623,499
ENSG00000123473.14,446,460,375,529,813,449,522
ENSG00000123485.10,60,141,26,28,138,58,42
ENSG00000123496.6,0,0,0,0,0,0,0
ENSG00000123500.8,0,1,0,0,0,0,0
ENSG00000123505.13,23657,11578,32697,25910,20011,19240,12224.98
ENSG00000123545.5,454,271,361,494,262,203,233
ENSG00000123552.16,977,727,593,950,206,175,104
ENSG00000123560.12,0,0,0,0,0,0,0
ENSG00000123561.13,0,0,0,0,0,0,0
ENSG00000123562.15,4386,4110,5442,6298,5465,2955,3994
ENSG00000123569.8,0,0,0,0,0,0,0
ENSG00000123570.3,47,144,290,638,251,225,160
ENSG00000123572.15,0,0,0,0,0,0,0
ENSG00000123575.8,3477,2532,2326,3556,2161,1593,1644
ENSG00000123576.5,0,0,0,0,0,0,0
ENSG00000123584.7,0,0,0,0,0,0,0
ENSG00000123594.4,0,0,0,0,0,0,0
ENSG00000123595.6,722,617,448,608,744,357,420
ENSG00000123600.17,1916,1387,1625,2210,1941,2046,1062
ENSG00000123607.13,2896,1923,2465,2714,2514,2135,2018
ENSG00000123609.9,3360,2154,1335,1370,2971,1622,2175
ENSG00000123610.4,62,408,0,1,10,0,4
ENSG00000123612.14,15,16,9,15,12,3,35
ENSG00000123636.16,15578,14786,22451.7,23279.92,15856.22,12005.63,19991.6
ENSG00000123643.11,794,1638,990,797,787,531,1146
ENSG00000123684.11,3742,6922.74,2651,3160,7317,4111,3556
ENSG00000123685.7,3,173,22,27,41,7,8
ENSG00000123689.5,0,4133,2,5,2,0,0
ENSG00000123700.4,0,1249,6,5,118,3,1
ENSG00000123728.8,2768,4302,1491,2526,1628,983,1219
ENSG00000123737.11,1561,2222,1452,1459,1750,1082,1192
ENSG00000123739.9,1616.94,452.92,650,855,590,701.67,651
ENSG00000123810.6,204,185,161,167,128,218,296
ENSG00000123815.10,824,777,618,871,647,1128,1709
ENSG00000123836.13,1034,423,550,227,1005,466,667
ENSG00000123838.9,0,0,10,12,0,0,0
ENSG00000123843.11,0,8,0,0,42,41,0
ENSG00000123870.10,273.4,66,232.43,251,174,188.21,306.53
ENSG00000123892.10,78,188,497,727,206,113,221
ENSG00000123901.7,17,13,6,7,9,7,12
ENSG00000123908.10,5786,4118,3055,3337,4592,6433,7891
ENSG00000123933.13,2319,1585,1308,1681,1430,2007,2798
ENSG00000123965.13,48.24,20.53,78.5,85.13,87.57,149.27,67.53
ENSG00000123975.4,1035,527,440,669,652,587,695
ENSG00000123977.8,0,0,0,0,0,0,0
ENSG00000123983.12,803,1974,1624,2175,2275,429,1008
ENSG00000123989.12,36,12,32,70,25,17,20
ENSG00000123992.17,1444,1409,986,959,1373,1903,2042
ENSG00000123999.4,0,1,5,0,3,1,1
ENSG00000124003.12,0,1,0,0,0,0,0
ENSG00000124006.13,197,379,1402,1851,823,2600,2634
ENSG00000124019.9,21,551,305,428,1221,1706,972
ENSG00000124067.15,1658.7,869,554,609.22,650.14,1162.08,1959.75
ENSG00000124074.10,174,214,166,266,225,456,553
ENSG00000124089.4,0,0,0,0,0,0,0
ENSG00000124091.8,0,1,0,0,0,0,0
ENSG00000124092.11,0,0,0,0,0,0,0
ENSG00000124097.7,7.14,1,10.02,26.05,2.01,9.02,2
ENSG00000124098.9,2325,1101,713,756,847,469,288
ENSG00000124102.4,0,2,0,0,0,1,0
ENSG00000124103.8,47,37.8,42.12,44.45,23.63,12.22,30
ENSG00000124104.17,11,308,28,37,235,119,54
ENSG00000124107.5,0,115,0,0,0,1,0
ENSG00000124116.17,2,1,1,4,0,1,12
ENSG00000124120.9,1061,577,546,573,392,414,691
ENSG00000124126.12,9146,9871,3308,2588,8854,7864,8606
ENSG00000124134.7,1,0,2,0,0,0,0
ENSG00000124140.11,0,0,3,4,11,46,0
ENSG00000124143.9,0,0,0,0,1,0,0
ENSG00000124145.6,137,495,101,113,84,21,698
ENSG00000124151.17,7922,8251,5215,6186,10575,7348,7058
ENSG00000124155.15,1785,1832,1059,1333,1127,1801,1749
ENSG00000124157.6,0,0,0,0,0,0,0
ENSG00000124159.14,0,27,1,0,0,0,1
ENSG00000124160.10,1240,571,657,776,655,962,968
ENSG00000124164.14,1207,606,538,865,1033,1446,1136
ENSG00000124171.7,294,125,78,144,67,131,63
ENSG00000124172.8,4094,6285,3280,4260,5706,3829,3031
ENSG00000124177.13,9284,5855,7546,7829,6635,7790,11071
ENSG00000124181.13,446,212,142,177,1028,2442,1131
ENSG00000124191.16,0,2,5,4,0,0,1
ENSG00000124193.13,19243.65,14456.37,21839.84,23368.55,15138.73,10221.98,11867.8
ENSG00000124194.14,0,0,0,0,0,0,1
ENSG00000124196.5,0,0,0,0,0,0,0
ENSG00000124198.8,6815,6666,6092,6991,8946,6335,5712
ENSG00000124201.13,2791,7975,1816,2097,4976,4672,6908
ENSG00000124203.5,198,88,16,45,75,60,49
ENSG00000124205.14,0,0,0,0,0,0,0
ENSG00000124207.15,3810,2481,2336,2741,5196,2309,1935
ENSG00000124208.16,0,21.12,0,0,0,34.87,0
ENSG00000124209.3,1704,1376,1336,1668,1694,856,1616
ENSG00000124212.5,0,6,1,0,259,416,0
ENSG00000124214.18,2482,2355,1847,2123,2367,1872,2695
ENSG00000124215.15,240,238,54,50,35,14,72
ENSG00000124216.3,31,304,59,47,98,297,46
ENSG00000124217.4,424,276,153,215,192,305,506
ENSG00000124222.20,4152.85,5105.14,3896.22,4000.29,5430.14,5806.48,4862.19
ENSG00000124224.15,47,548,473,548,36,50,193
ENSG00000124225.14,4,10,1,2,59,25,1
ENSG00000124226.9,3122,3313,2211,2019,2200,2295,3852
ENSG00000124227.5,0,0,0,0,0,0,0
ENSG00000124228.13,2565,2686,2268,2015,1576,2475,2873
ENSG00000124232.9,0,0,0,0,0,0,0
ENSG00000124233.11,0,0,1,0,0,0,0
ENSG00000124237.5,0,0,0,0,0,0,0
ENSG00000124243.16,39,118,61,42,115,210,44
ENSG00000124249.6,0,0,0,0,0,0,0
ENSG00000124251.9,0,0,0,0,1,0,0
ENSG00000124253.10,0,0,0,0,1,0,0
ENSG00000124256.13,44,344,6,1,46,7,16
ENSG00000124257.6,89,25,32,65,56,195,101
ENSG00000124260.10,0,0,0,0,0,0,0
ENSG00000124275.13,1882,1674,1323,1453,1814,1513,1462
ENSG00000124279.10,509,324,345,467,408,441,387
ENSG00000124299.12,324,1162,476,653,1249,1103,612
ENSG00000124302.11,0,0,0,2,0,0,0
ENSG00000124313.11,26,504,212,260,396,283,246
ENSG00000124333.13,3118,2928,1853,2760,2824,1746,1440
ENSG00000124334.15,442.74,29.38,38.72,20.91,53.57,238.41,54.76
ENSG00000124343.11,18,3,160,203,2,13,4
ENSG00000124356.14,1949,1354,1603,1902,1767,1591,2076
ENSG00000124357.11,1682,4489,1309,1441,2671,2179,3518
ENSG00000124370.9,199,162,155,196,222,173,194
ENSG00000124374.8,114,123,501,348,5,2,324
ENSG00000124380.9,1206.57,771,592,843,846,554,623
ENSG00000124383.7,1654,784,1385,1565,1401,1053,886
ENSG00000124391.4,3,1,0,4,0,6,1
ENSG00000124399.4,3.02,1.01,0,0,2.96,0,0
ENSG00000124406.15,11430,5176,5308,4108,11182,12426,4942
ENSG00000124422.10,13137,6898,7988,7104,6808,7922,11973
ENSG00000124429.16,2,0,1,0,0,0,0
ENSG00000124440.14,0,0,0,0,0,0,0
ENSG00000124444.14,261.88,195.75,173.75,203.81,185,333.65,366.68
ENSG00000124449.6,0,0,0,0,0,0,0
ENSG00000124459.10,1055,642,822,1034,699,906,1081
ENSG00000124466.8,1,8,6,4,11,21,3
ENSG00000124467.17,0,0,0,0,0,0,0
ENSG00000124469.9,1,3,0,0,2,1,0
ENSG00000124479.8,0,0,0,0,0,0,0
ENSG00000124486.11,14164,12704,12287,13073,15063,5767,11102
ENSG00000124490.12,0,0,5,7,0,0,0
ENSG00000124491.14,74,8689,1773,3821,8411,61,12011
ENSG00000124493.12,0,0,1,7,3,28,0
ENSG00000124496.11,252,2594,827,416,1726,1465,1020
ENSG00000124507.9,4,13,3,16,82,60,0
ENSG00000124508.15,409.21,864.27,442,408,1011,863.85,720.77
ENSG00000124523.13,1019,475,743,993,800,972,977
ENSG00000124532.13,1534,839,745,923,1008,819,849
ENSG00000124535.14,4046,2069,1583,2092,2076,2623,2323
ENSG00000124541.6,871,750,562,735,890,832,670
ENSG00000124549.13,40,130,153,204,144,273,125
ENSG00000124557.11,1,0,0,1,1,2,0
ENSG00000124562.8,1461,1018,958,1038,1342,1257,859
ENSG00000124564.16,8,3,0,0,28.48,4,0
ENSG00000124568.9,1,1,0,0,1,1,0
ENSG00000124570.16,3525,2749,227,33,4025,4704,3664
ENSG00000124571.16,3366,2248,2776,2723,3295,3291,3171
ENSG00000124574.13,883,695,688,735,707,1415,1401
ENSG00000124575.6,5340,837,141,96,16882,6043,12483
ENSG00000124587.12,1137,675,420,419,1092,1688,1355
ENSG00000124588.18,729,891,283,277,585,680,681
ENSG00000124593.13,96.56,317.12,206.22,266.28,370.47,1176.97,805.48
ENSG00000124596.15,1424.91,1006.64,1130.83,1171.78,963.62,1029.56,1136.27
ENSG00000124602.8,99.09,53.36,106.17,109.22,81.38,234.44,166.73
ENSG00000124608.4,761,717,525,539,651,1189,991
ENSG00000124610.4,16,13,3,1,41,35,4
ENSG00000124613.7,128,11,142,142,50,75,80
ENSG00000124614.12,17906.97,15500.9,16623.18,16100.06,24417.31,21242.31,28737.63
ENSG00000124615.16,1,3,50,40,0,0,0
ENSG00000124635.8,932.23,718,847,722,1503,1212,1480.08
ENSG00000124641.13,726,618,649,877,843,685,744
ENSG00000124657.1,7,12,3,1,2,1,4
ENSG00000124659.6,832,876,1011,857,715,1133,1231
ENSG00000124664.9,1,5,0,0,5,6,0
ENSG00000124678.16,3,6,16,12,3,7,0
ENSG00000124688.12,680,547,604,540,641,500,520
ENSG00000124701.5,10,0,1,0,0,0,0
ENSG00000124702.16,2835,1647,1019,1265,1627,2013,2892
ENSG00000124713.5,42,94,33,56,41,77,167
ENSG00000124721.16,3,6,1304,2086,10,0,12
ENSG00000124731.11,10,8882,256,357,3447,37,110
ENSG00000124733.3,905,857,560,740,947,950,873
ENSG00000124743.5,56,9,16,29,78,116,12
ENSG00000124749.15,0,0,3,1,0,0,0
ENSG00000124762.12,19,14802,440,588,2052,746,422
ENSG00000124766.5,20942,3637,14963,18347,4192,6325,9424
ENSG00000124767.6,1660,1947,2519,3487,3031,1391,2229
ENSG00000124772.10,19,17,14,13,12,2,10
ENSG00000124780.12,222,321,777,960,121,161,15
ENSG00000124782.18,19210,7135,9952,7880,6718,7509,14275
ENSG00000124783.11,7389,8224,5868,8232,8710,4218,4842
ENSG00000124784.7,1340,1359,1098,1175,1329,1100,1120
ENSG00000124785.7,1,9,0,0,1,0,0
ENSG00000124786.9,381,386,503,702,442,342,408
ENSG00000124787.12,449,171,296,416,412,458,206
ENSG00000124788.16,2693,2213,1489,1393.16,5247,3551.12,280
ENSG00000124789.10,9236,5665,7406,6594,8885,6797,7466
ENSG00000124795.13,5604,8647,3981,5373,8390,3401,5482
ENSG00000124802.10,692,601.06,553,710,757,432,303
ENSG00000124812.13,0,0,0,0,0,0,0
ENSG00000124813.19,3973,4234,3936,3952,5057,2617,5772
ENSG00000124818.13,1,0,0,0,0,0,0
ENSG00000124827.6,0,0,0,0,0,0,0
ENSG00000124831.17,8327.14,17735.36,13454.93,11688.5,20403.39,15159.08,17414.04
ENSG00000124835.2,15,7,18,11,10,9,13
ENSG00000124839.11,0,11,15,17,15,8,1
ENSG00000124875.8,0,11,0,2,1,0,0
ENSG00000124882.3,33,18823,17048,16990,119,1,65
ENSG00000124900.11,0,0,0,0,0,0,0
ENSG00000124915.9,0,0,0,0,1,1,0
ENSG00000124920.12,11,88,2,12,395,903,62
ENSG00000124935.3,0,0,0,0,0,0,0
ENSG00000124939.5,0,0,0,0,0,0,0
ENSG00000124942.12,54806,424532,212604,297344,333434,353729,398640
ENSG00000125037.11,1756,1636,1228,1302,2015,2096,1430
ENSG00000125046.13,3,4,1,4,7,6,0
ENSG00000125084.10,1,0,1,0,0,0,0
ENSG00000125089.15,189,3448,419,466,4470,3926,2586
ENSG00000125107.15,15972,11327,11452,12865,19250,13923,16067
ENSG00000125122.13,57,82,40,69,59,154,190
ENSG00000125124.10,1463,1526,1382,1812,1235,1606,1491
ENSG00000125144.12,0,3,1,19,4,2,0
ENSG00000125148.6,170,282,118,165,408,248,94
ENSG00000125149.10,1183,882,467,572,1071,927,661
ENSG00000125166.11,1472,1204,950,1021,1655,1491,1250
ENSG00000125170.9,177,90,189,323,216,658,427
ENSG00000125207.6,0,0,0,0,0,0,0
ENSG00000125245.11,22,154,15,4,113,10,3
ENSG00000125246.14,270,205,133,157,266,467,69
ENSG00000125247.14,1734,864,2392,2607,1178,1590,1631
ENSG00000125249.6,1823,2018,1093,2033,1270,111,1414
ENSG00000125255.6,0,0,7,0,0,0,0
ENSG00000125257.12,5308,2095,1775,2357,1648,1555,1414
ENSG00000125266.6,32,6,14,17,3,0,2
ENSG00000125285.5,2,0,0,0,0,0,0
ENSG00000125304.8,7310,9811,6375,8631,10583,6067,6043
ENSG00000125319.13,93,90,58,42,91,92,104
ENSG00000125337.15,0,0,0,0,0,0,0
ENSG00000125347.12,5066,13670,2532,2442,6416,9100,13293
ENSG00000125351.9,728,504,533,699,510,590,537
ENSG00000125352.5,617,579,559,572,562,941,785
ENSG00000125354.21,19534,9259,11957,12108,7731,13812,16009
ENSG00000125355.14,3,51,4,4,4,5,7
ENSG00000125356.6,1185,1622,904,979,1566,1020,1021
ENSG00000125363.13,0,0,0,0,0,0,0
ENSG00000125375.13,2700,1220,1406,1648,1436,1254,1768
ENSG00000125378.14,0,0,0,0,0,0,0
ENSG00000125384.6,3536,4115,1148,1007,4279,2961,2288
ENSG00000125385.9,1,0,0,0,0,0,0
ENSG00000125386.13,1757,1438,1562,1501,1658,2074,2907
ENSG00000125388.18,554,144,186,274,154,267,181
ENSG00000125398.5,0,0,0,0,0,0,0
ENSG00000125409.11,10,2,2,8,0,12,3
ENSG00000125414.17,0,0,0,0,0,0,0
ENSG00000125430.7,230.66,460.19,307.66,441.82,314.94,456.74,542.29
ENSG00000125434.9,122,153,121,123,103,260,176
ENSG00000125445.9,874,1000,624,701,1098,992,821
ENSG00000125447.15,1960,1900,1266,1289,1684,2423,2483
ENSG00000125449.5,222,139,167,177,163,330,559
ENSG00000125450.9,1483,1264,1353,1307,1607,2059,1780
ENSG00000125454.10,461,656,277,347,739,673,531
ENSG00000125457.12,506,962,260,326,519,646,706
ENSG00000125458.5,897,554,532,699,692,1046,1105
ENSG00000125459.13,763.97,605.84,792.22,806.7,634.11,1367.81,768.52
ENSG00000125462.15,5,29,0,3,1,0,1
ENSG00000125482.11,950,718,1370,1336,1299,1053,1135
ENSG00000125484.10,2471,1323,2074,2786,2072,1570,2730
ENSG00000125485.16,1021,665,1019,1151,1372,2189,1842
ENSG00000125492.8,0,0,0,0,0,0,0
ENSG00000125498.18,6,1,0,0,1,0,0
ENSG00000125503.11,1047,2053,875,1121,1645,3285,2065
ENSG00000125505.15,2932,3416,2993,3820,4574,7238,8955
ENSG00000125508.3,0,0,0,1,0,0,0
ENSG00000125510.14,106,458,133,215,221,366,516
ENSG00000125514.8,0,0,0,0,0,0,0
ENSG00000125520.12,477,392,227,365,396,593,1213
ENSG00000125522.3,0,0,0,0,0,0,0
ENSG00000125531.6,9,7,4,38,4,4,93
ENSG00000125533.5,0,0,0,2,0,0,0
ENSG00000125534.8,59,235,118,193,269,340,741
ENSG00000125538.10,3659,86574,555,1459,4195,1846,5063
ENSG00000125551.17,291.88,110.1,268.65,411.25,309.3,294.91,348.33
ENSG00000125571.8,3,3,0,0,1,2,0
ENSG00000125611.14,140,163.36,154,161.43,164,158.52,240.59
ENSG00000125618.15,0,8,1,0,6,3,2
ENSG00000125629.13,754,346,859,1423,402,320,390
ENSG00000125630.14,3003,1331,1528,1979,2753,2572,2019
ENSG00000125631.7,0,0,0,0,0,0,0
ENSG00000125633.9,2267,2406,2488,2759,2752,2855,3127
ENSG00000125637.14,5028,6744,3177,3766,5166,8938,5841
ENSG00000125648.13,13,9,52,86,91,188,4
ENSG00000125650.4,163,57,69,70,51,98,245
ENSG00000125651.12,2309,2099,1397,1519,1417,2582,4047
ENSG00000125652.6,471,318,335,432,442,502,512
ENSG00000125656.7,423,398,251,310,455,638,462
ENSG00000125657.4,4,433,94,147,103,41,13
ENSG00000125675.16,1,0,0,0,0,0,2
ENSG00000125676.18,9252,6432,7414,8918,10494,7939,5992
ENSG00000125686.10,3908,2516,2454,2648,3334,2663,3356
ENSG00000125691.11,23819.99,18137.99,19008.63,19395.74,29024.43,27535.91,27046
ENSG00000125695.12,0,0,0,0,0,0,0
ENSG00000125703.13,1280,805,843,1316,985,524,695
ENSG00000125726.9,5,85,1,2,2,3,1
ENSG00000125730.15,2,55,5,11,14,1,1
ENSG00000125731.11,60,42,43,65,64,228,41
ENSG00000125733.16,81,82,157,232,176,327,215
ENSG00000125734.12,954,1295,838,920,1009,1606,1432
ENSG00000125735.9,35,127,14,49,13,27,10
ENSG00000125740.12,5910,27339,24778,17041,17732,15868,33119
ENSG00000125741.4,737,618,379,388,426,623,659
ENSG00000125743.9,2493,2475,2389,2754,3800,3886,2978
ENSG00000125744.10,60,98,87,101,100,214,226
ENSG00000125746.13,608,991,455,525,521,1299,727
ENSG00000125753.12,3395,7719,1213,1452,3422,2785,3157
ENSG00000125755.17,3006,2581,1835,1704,2351,4079,4286
ENSG00000125772.11,6161,24927,8356,9715,19060,5963,4858
ENSG00000125775.13,17.58,9.48,14,23.43,34.98,72.07,29.55
ENSG00000125779.20,2142,2011,1224,1277,1720,1540,1922
ENSG00000125780.11,0,0,0,1,0,0,0
ENSG00000125787.10,14,6,8,17,13,10,20
ENSG00000125788.5,0,0,0,0,0,0,0
ENSG00000125798.13,0,0,0,1,0,0,0
ENSG00000125804.12,12,5,17,20,5,5,0
ENSG00000125810.9,2064,24536,1945,2984,7999,1592,83
ENSG00000125812.14,1074,2502,1148,1221,1670,642,910
ENSG00000125813.12,0,0,0,0,0,0,0
ENSG00000125814.16,1700,658,949,1427,1307,1092,1365
ENSG00000125815.7,0,0,0,0,0,0,0
ENSG00000125816.4,0,0,0,0,0,0,0
ENSG00000125817.7,831,1865,638,790,1130,1149,1538
ENSG00000125818.16,3823.83,2308,1808,1966,2533,2519,2813
ENSG00000125820.5,0,0,0,0,0,0,0
ENSG00000125821.10,311.08,959.07,719,898,849,1636.05,809
ENSG00000125823.11,0,0,0,0,0,0,0
ENSG00000125826.18,1313,1737,742,821,1450,2283,2203
ENSG00000125827.7,4358,6009,6612,7463,4442,2261,5356
ENSG00000125831.8,0,0,0,0,0,0,0
ENSG00000125834.11,1395,1121,1028,1176,848,1301,2186
ENSG00000125835.16,3314.65,3407.5,1895.96,1996.52,2815.07,2808.06,3971.97
ENSG00000125841.11,3,26,40,77,3,2,9
ENSG00000125843.9,684.85,381,430,477,360,691,871
ENSG00000125844.14,4030,6156,4122,4317,3341,4334,3503
ENSG00000125845.6,1,8,3,1,0,0,0
ENSG00000125846.14,593,575,483,600,368,721,674
ENSG00000125848.9,0,0,0,0,0,0,47
ENSG00000125850.9,0,1,0,3,0,0,1
ENSG00000125851.8,0,0,0,0,0,0,0
ENSG00000125861.13,0,0,0,0,0,0,0
ENSG00000125863.16,1037,840,1069,1556,908,748,1009
ENSG00000125864.10,5,4,17,30,8,4,5
ENSG00000125868.14,2161.96,1950,1771.89,3258.96,988,736.92,1262.87
